market_id,market_group,market_cluster,year,n_owners,total_units_market,total_parcels_market,hhi_units,hhi_parcels,share_top1,share_top3,share_corp_units,n_buildings,mean_log_rent,mean_log_income,share_with_rent,share_with_income,market_filing_rate,log_hhi_units,log_total_units_market
0000-__high,High-filing (>5%),0000-,2015,1,4,1,10000,10000,100,100,100,1,7.9373746961633,,1,0,0,9.21034037197618,1.38629436111989
0000-__high,High-filing (>5%),0000-,2016,1,4,1,10000,10000,100,100,100,1,7.86231852512766,,1,0,0,9.21034037197618,1.38629436111989
0000-__high,High-filing (>5%),0000-,2017,1,4,1,10000,10000,100,100,100,1,7.40087491354901,,1,0,0.25,9.21034037197618,1.38629436111989
0000-__high,High-filing (>5%),0000-,2018,1,4,1,10000,10000,100,100,100,1,7.40098547978809,1.82097156681451,1,1,0,9.21034037197618,1.38629436111989
0000-__high,High-filing (>5%),0000-,2019,1,4,1,10000,10000,100,100,100,1,7.9585769038139,1.78074065107892,1,1,0,9.21034037197618,1.38629436111989
00000__low,Lower-filing (<=5%),00000,2011,7,25,7,2896,1428.57142857143,48,76,60,7,,4.09942526185323,0,1,0,7.97108575350561,3.2188758248682
00000__low,Lower-filing (<=5%),00000,2012,7,25,7,2896,1428.57142857143,48,76,60,7,8.19560956728878,3.72374128269598,0.142857142857143,0.857142857142857,0,7.97108575350561,3.2188758248682
00000__low,Lower-filing (<=5%),00000,2013,7,25,7,2896,1428.57142857143,48,76,60,7,,4.14647556764209,0,0.714285714285714,0,7.97108575350561,3.2188758248682
00000__low,Lower-filing (<=5%),00000,2014,7,25,7,2896,1428.57142857143,48,76,60,7,7.49276030092238,3.48043124727757,0.142857142857143,1,0,7.97108575350561,3.2188758248682
00000__low,Lower-filing (<=5%),00000,2015,7,25,7,2896,1428.57142857143,48,76,60,7,7.97246601597457,3.4487741317846,0.142857142857143,1,0,7.97108575350561,3.2188758248682
00000__low,Lower-filing (<=5%),00000,2016,8,26,8,2692.30769230769,1250,46.1538461538462,73.0769230769231,61.5384615384615,8,8.13463576773742,3.80209705149014,0.25,0.75,0,7.89815398301001,3.25809653802148
00000__low,Lower-filing (<=5%),00000,2017,8,26,8,2692.30769230769,1250,46.1538461538462,73.0769230769231,61.5384615384615,8,7.38399258077461,3.69015529030947,0.25,0.875,0,7.89815398301001,3.25809653802148
00000__low,Lower-filing (<=5%),00000,2018,9,28,9,2372.44897959184,1111.11111111111,42.8571428571429,67.8571428571429,64.2857142857143,9,7.50216857258006,4.06152141789565,0.666666666666667,0.777777777777778,0,7.77167802533898,3.3322045101752
00000__low,Lower-filing (<=5%),00000,2019,9,28,9,2372.44897959184,1111.11111111111,42.8571428571429,67.8571428571429,64.2857142857143,9,8.02899131836589,3.81892585254555,0.444444444444444,0.777777777777778,0,7.77167802533898,3.3322045101752
08021__high,High-filing (>5%),08021,2011,1,1,1,10000,10000,100,100,0,1,,,0,0,0,9.21034037197618,0
